
K = 2, Run (1,8,3): fitness => -56.58
K = 2, Run (1,8,4): fitness => -56.58
K = 2, Run (1,8,5): fitness => -56.58

K = 2, Run (1,9,1): fitness => -56.58
K = 2, Run (1,9,2): fitness => -56.58
K = 2, Run (1,9,3): fitness => -56.58
K = 2, Run (1,9,4): fitness => -56.58
K = 2, Run (1,9,5): fitness => -56.58

K = 2, Run (1,10,1): fitness => -56.58
K = 2, Run (1,10,2): fitness => -56.58
K = 2, Run (1,10,3): fitness => -56.58
K = 2, Run (1,10,4): fitness => -56.58
K = 2, Run (1,10,5): fitness => -56.58

K = 2, Run (2,1,1): fitness => -Inf
K = 2, Run (2,1,2): fitness => -Inf
K = 2, Run (2,1,3): fitness => -Inf
K = 2, Run (2,1,4): fitness => -Inf
K = 2, Run (2,1,5): fitness => -60.99

K = 2, Run (2,2,1): fitness => -Inf
K = 2, Run (2,2,2): fitness => -Inf
K = 2, Run (2,2,3): fitness => -Inf
K = 2, Run (2,2,4): fitness => -60.99
K = 2, Run (2,2,5): fitness => -60.99

K = 2, Run (2,3,1): fitness => -Inf
K = 2, Run (2,3,2): fitness => -Inf
K = 2, Run (2,3,3): fitness => -60.99
K = 2, Run (2,3,4): fitness => -60.99
K = 2, Run (2,3,5): fitness => -60.99

K = 2, Run (2,4,1): fitness => -60.99
K = 2, Run (2,4,2): fitness => -60.99
K = 2, Run (2,4,3): fitness => -60.99
K = 2, Run (2,4,4): fitness => -60.99
K = 2, Run (2,4,5): fitness => -60.99

K = 2, Run (2,5,1): fitness => -60.99
K = 2, Run (2,5,2): fitness => -60.99
K = 2, Run (2,5,3): fitness => -60.99
K = 2, Run (2,5,4): fitness => -60.99
K = 2, Run (2,5,5): fitness => -60.99

K = 2, Run (2,6,1): fitness => -60.99
K = 2, Run (2,6,2): fitness => -60.99
K = 2, Run (2,6,3): fitness => -60.99
K = 2, Run (2,6,4): fitness => -60.99
K = 2, Run (2,6,5): fitness => -60.99

K = 2, Run (2,7,1): fitness => -60.99
K = 2, Run (2,7,2): fitness => -60.99
K = 2, Run (2,7,3): fitness => -60.99
K = 2, Run (2,7,4): fitness => -60.99
K = 2, Run (2,7,5): fitness => -60.99

K = 2, Run (2,8,1): fitness => -60.99
K = 2, Run (2,8,2): fitness => -60.99
K = 2, Run (2,8,3): fitness => -60.99
K = 2, Run (2,8,4): fitness => -60.99
K = 2, Run (2,8,5): fitness => -60.99

K = 2, Run (2,9,1): fitness => -60.99
K = 2, Run (2,9,2): fitness => -60.99
K = 2, Run (2,9,3): fitness => -60.99
K = 2, Run (2,9,4): fitness => -60.99
K = 2, Run (2,9,5): fitness => -60.99

K = 2, Run (2,10,1): fitness => -60.99
K = 2, Run (2,10,2): fitness => -60.99
K = 2, Run (2,10,3): fitness => -60.99
K = 2, Run (2,10,4): fitness => -60.99
K = 2, Run (2,10,5): fitness => -60.99

#-56.58

K = 2, Run (1,1,1): fitness => -Inf
K = 2, Run (1,1,2): fitness => -Inf
K = 2, Run (1,1,3): fitness => -61.79
K = 2, Run (1,1,4): fitness => -61.34
K = 2, Run (1,1,5): fitness => -61.17

K = 2, Run (1,2,1): fitness => -62.24
K = 2, Run (1,2,2): fitness => -61.68
K = 2, Run (1,2,3): fitness => -61.34
K = 2, Run (1,2,4): fitness => -61.17
K = 2, Run (1,2,5): fitness => -61.17

K = 2, Run (1,3,1): fitness => -61.45
K = 2, Run (1,3,2): fitness => -61.25
K = 2, Run (1,3,3): fitness => -61.17
K = 2, Run (1,3,4): fitness => -61.17
K = 2, Run (1,3,5): fitness => -61.17

K = 2, Run (1,4,1): fitness => -61.17
K = 2, Run (1,4,2): fitness => -61.17
K = 2, Run (1,4,3): fitness => -61.17
K = 2, Run (1,4,4): fitness => -61.17
K = 2, Run (1,4,5): fitness => -61.17

K = 2, Run (1,5,1): fitness => -61.17
K = 2, Run (1,5,2): fitness => -61.17
K = 2, Run (1,5,3): fitness => -61.17
K = 2, Run (1,5,4): fitness => -61.17
K = 2, Run (1,5,5): fitness => -61.17

K = 2, Run (1,6,1): fitness => -61.17
K = 2, Run (1,6,2): fitness => -61.17
K = 2, Run (1,6,3): fitness => -61.17
K = 2, Run (1,6,4): fitness => -61.17
K = 2, Run (1,6,5): fitness => -61.17

K = 2, Run (1,7,1): fitness => -61.17
K = 2, Run (1,7,2): fitness => -61.17
K = 2, Run (1,7,3): fitness => -61.17
K = 2, Run (1,7,4): fitness => -61.17
K = 2, Run (1,7,5): fitness => -61.17

K = 2, Run (1,8,1): fitness => -61.17
K = 2, Run (1,8,2): fitness => -61.17
K = 2, Run (1,8,3): fitness => -61.17
K = 2, Run (1,8,4): fitness => -61.17
K = 2, Run (1,8,5): fitness => -61.17

K = 2, Run (1,9,1): fitness => -61.17
K = 2, Run (1,9,2): fitness => -61.17
K = 2, Run (1,9,3): fitness => -61.17
K = 2, Run (1,9,4): fitness => -61.17
K = 2, Run (1,9,5): fitness => -61.17

K = 2, Run (1,10,1): fitness => -61.17
K = 2, Run (1,10,2): fitness => -61.17
K = 2, Run (1,10,3): fitness => -61.17
K = 2, Run (1,10,4): fitness => -61.17
K = 2, Run (1,10,5): fitness => -61.17

K = 2, Run (2,1,1): fitness => -Inf
K = 2, Run (2,1,2): fitness => -Inf
K = 2, Run (2,1,3): fitness => -Inf
K = 2, Run (2,1,4): fitness => -62.55
K = 2, Run (2,1,5): fitness => -62.28

K = 2, Run (2,2,1): fitness => -Inf
K = 2, Run (2,2,2): fitness => -Inf
K = 2, Run (2,2,3): fitness => -62.55
K = 2, Run (2,2,4): fitness => -62.28
K = 2, Run (2,2,5): fitness => -62.28

K = 2, Run (2,3,1): fitness => -62.75
K = 2, Run (2,3,2): fitness => -62.41
K = 2, Run (2,3,3): fitness => -62.28
K = 2, Run (2,3,4): fitness => -62.28
K = 2, Run (2,3,5): fitness => -62.28

K = 2, Run (2,4,1): fitness => -62.28
K = 2, Run (2,4,2): fitness => -62.28
K = 2, Run (2,4,3): fitness => -62.28
K = 2, Run (2,4,4): fitness => -62.28
K = 2, Run (2,4,5): fitness => -62.28

K = 2, Run (2,5,1): fitness => -62.28
K = 2, Run (2,5,2): fitness => -62.28
K = 2, Run (2,5,3): fitness => -62.28
K = 2, Run (2,5,4): fitness => -62.28
K = 2, Run (2,5,5): fitness => -62.28

K = 2, Run (2,6,1): fitness => -62.28
K = 2, Run (2,6,2): fitness => -62.28
K = 2, Run (2,6,3): fitness => -62.28
K = 2, Run (2,6,4): fitness => -62.28
K = 2, Run (2,6,5): fitness => -62.28

K = 2, Run (2,7,1): fitness => -62.28
K = 2, Run (2,7,2): fitness => -62.28
K = 2, Run (2,7,3): fitness => -62.28
K = 2, Run (2,7,4): fitness => -62.28
K = 2, Run (2,7,5): fitness => -62.28

K = 2, Run (2,8,1): fitness => -62.28
K = 2, Run (2,8,2): fitness => -62.28
K = 2, Run (2,8,3): fitness => -62.28
K = 2, Run (2,8,4): fitness => -62.28
K = 2, Run (2,8,5): fitness => -62.28

K = 2, Run (2,9,1): fitness => -62.28
K = 2, Run (2,9,2): fitness => -62.28
K = 2, Run (2,9,3): fitness => -62.28
K = 2, Run (2,9,4): fitness => -62.28
K = 2, Run (2,9,5): fitness => -62.28

K = 2, Run (2,10,1): fitness => -62.28
K = 2, Run (2,10,2): fitness => -62.28
K = 2, Run (2,10,3): fitness => -62.28
K = 2, Run (2,10,4): fitness => -62.28
K = 2, Run (2,10,5): fitness => -62.28

#-61.17

K = 2, Run (1,1,1): fitness => -Inf
K = 2, Run (1,1,2): fitness => -Inf
K = 2, Run (1,1,3): fitness => -Inf
K = 2, Run (1,1,4): fitness => -Inf
K = 2, Run (1,1,5): fitness => -59.45

K = 2, Run (1,2,1): fitness => -Inf
K = 2, Run (1,2,2): fitness => -Inf
K = 2, Run (1,2,3): fitness => -Inf
K = 2, Run (1,2,4): fitness => -59.45
K = 2, Run (1,2,5): fitness => -59.45

K = 2, Run (1,3,1): fitness => -Inf
K = 2, Run (1,3,2): fitness => -Inf
K = 2, Run (1,3,3): fitness => -59.45
K = 2, Run (1,3,4): fitness => -59.45
K = 2, Run (1,3,5): fitness => -59.45

K = 2, Run (1,4,1): fitness => -59.45
K = 2, Run (1,4,2): fitness => -59.45
K = 2, Run (1,4,3): fitness => -59.45
K = 2, Run (1,4,4): fitness => -59.45
K = 2, Run (1,4,5): fitness => -59.45

K = 2, Run (1,1,1): fitness => -61.43
K = 2, Run (1,1,2): fitness => -61.13
K = 2, Run (1,1,3): fitness => -60.84
K = 2, Run (1,1,4): fitness => -60.73
K = 2, Run (1,1,5): fitness => -60.71

K = 2, Run (1,2,1): fitness => -60.93
K = 2, Run (1,2,2): fitness => -60.80
K = 2, Run (1,2,3): fitness => -60.73
K = 2, Run (1,2,4): fitness => -60.71
K = 2, Run (1,2,5): fitness => -60.71

K = 2, Run (1,3,1): fitness => -60.75
K = 2, Run (1,3,2): fitness => -60.72
K = 2, Run (1,3,3): fitness => -60.71
K = 2, Run (1,3,4): fitness => -60.71
K = 2, Run (1,3,5): fitness => -60.71

K = 2, Run (1,4,1): fitness => -60.71
K = 2, Run (1,4,2): fitness => -60.71
K = 2, Run (1,4,3): fitness => -60.71
K = 2, Run (1,4,4): fitness => -60.71
K = 2, Run (1,4,5): fitness => -60.71

K = 2, Run (1,5,1): fitness => -60.71
K = 2, Run (1,5,2): fitness => -60.71
K = 2, Run (1,5,3): fitness => -60.71
K = 2, Run (1,5,4): fitness => -60.71
K = 2, Run (1,5,5): fitness => -60.71

K = 2, Run (1,6,1): fitness => -60.71
K = 2, Run (1,6,2): fitness => -60.71
K = 2, Run (1,6,3): fitness => -60.71
K = 2, Run (1,6,4): fitness => -60.71
K = 2, Run (1,6,5): fitness => -60.71

K = 2, Run (1,7,1): fitness => -60.71
K = 2, Run (1,7,2): fitness => -60.71
K = 2, Run (1,7,3): fitness => -60.71
K = 2, Run (1,7,4): fitness => -60.71
K = 2, Run (1,7,5): fitness => -60.71

K = 2, Run (1,8,1): fitness => -60.71
K = 2, Run (1,8,2): fitness => -60.71
K = 2, Run (1,8,3): fitness => -60.71
K = 2, Run (1,8,4): fitness => -60.71
K = 2, Run (1,8,5): fitness => -60.71

K = 2, Run (1,9,1): fitness => -60.71
K = 2, Run (1,9,2): fitness => -60.71
K = 2, Run (1,9,3): fitness => -60.71
K = 2, Run (1,9,4): fitness => -60.71
K = 2, Run (1,9,5): fitness => -60.71

K = 2, Run (1,10,1): fitness => -60.71
K = 2, Run (1,10,2): fitness => -60.71
K = 2, Run (1,10,3): fitness => -60.71
K = 2, Run (1,10,4): fitness => -60.71
K = 2, Run (1,10,5): fitness => -60.71

K = 2, Run (2,1,1): fitness => -Inf
K = 2, Run (2,1,2): fitness => -Inf
K = 2, Run (2,1,3): fitness => -61.28
K = 2, Run (2,1,4): fitness => -61.12
K = 2, Run (2,1,5): fitness => -61.00

K = 2, Run (2,2,1): fitness => -61.48
K = 2, Run (2,2,2): fitness => -61.30
K = 2, Run (2,2,3): fitness => -61.12
K = 2, Run (2,2,4): fitness => -61.00
K = 2, Run (2,2,5): fitness => -61.00

K = 2, Run (2,3,1): fitness => -61.21
K = 2, Run (2,3,2): fitness => -61.05
K = 2, Run (2,3,3): fitness => -61.00
K = 2, Run (2,3,4): fitness => -61.00
K = 2, Run (2,3,5): fitness => -61.00

K = 2, Run (2,4,1): fitness => -61.00
K = 2, Run (2,4,2): fitness => -61.00
K = 2, Run (2,4,3): fitness => -61.00
K = 2, Run (2,4,4): fitness => -61.00
K = 2, Run (2,4,5): fitness => -61.00

K = 2, Run (2,5,1): fitness => -61.00
K = 2, Run (2,5,2): fitness => -61.00
K = 2, Run (2,5,3): fitness => -61.00
K = 2, Run (2,5,4): fitness => -61.00
K = 2, Run (2,5,5): fitness => -61.00

K = 2, Run (2,6,1): fitness => -61.00
K = 2, Run (2,6,2): fitness => -61.00
K = 2, Run (2,6,3): fitness => -61.00
K = 2, Run (2,6,4): fitness => -61.00
K = 2, Run (2,6,5): fitness => -61.00

K = 2, Run (2,7,1): fitness => -61.00
K = 2, Run (2,7,2): fitness => -61.00
K = 2, Run (2,7,3): fitness => -61.00
K = 2, Run (2,7,4): fitness => -61.00
K = 2, Run (2,7,5): fitness => -61.00

K = 2, Run (2,8,1): fitness => -61.00
K = 2, Run (2,8,2): fitness => -61.00
K = 2, Run (2,8,3): fitness => -61.00
K = 2, Run (2,8,4): fitness => -61.00
K = 2, Run (2,8,5): fitness => -61.00

K = 2, Run (2,9,1): fitness => -61.00
K = 2, Run (2,9,2): fitness => -61.00
K = 2, Run (2,9,3): fitness => -61.00
K = 2, Run (2,9,4): fitness => -61.00
K = 2, Run (2,9,5): fitness => -61.00

K = 2, Run (2,10,1): fitness => -61.00
K = 2, Run (2,10,2): fitness => -61.00
K = 2, Run (2,10,3): fitness => -61.00
K = 2, Run (2,10,4): fitness => -61.00
K = 2, Run (2,10,5): fitness => -61.00

#-60.71

K = 2, Run (1,1,1): fitness => -Inf
K = 2, Run (1,1,2): fitness => -Inf
K = 2, Run (1,1,3): fitness => -Inf
K = 2, Run (1,1,4): fitness => -Inf
K = 2, Run (1,1,5): fitness => -Inf

K = 2, Run (1,2,1): fitness => -Inf
K = 2, Run (1,2,2): fitness => -Inf
K = 2, Run (1,2,3): fitness => -Inf
K = 2, Run (1,2,4): fitness => -Inf
K = 2, Run (1,2,5): fitness => -Inf

K = 2, Run (1,3,1): fitness => -Inf
K = 2, Run (1,3,2): fitness => -Inf
K = 2, Run (1,3,3): fitness => -Inf
K = 2, Run (1,3,4): fitness => -Inf
K = 2, Run (1,3,5): fitness => -Inf

K = 2, Run (1,4,1): fitness => -Inf
K = 2, Run (1,4,2): fitness => -Inf
K = 2, Run (1,4,3): fitness => -Inf
K = 2, Run (1,4,4): fitness => -Inf
K = 2, Run (1,4,5): fitness => -Inf

K = 2, Run (1,5,1): fitness => -Inf
K = 2, Run (1,5,2): fitness => -Inf
K = 2, Run (1,5,3): fitness => -Inf
K = 2, Run (1,5,4): fitness => -Inf
K = 2, Run (1,5,5): fitness => -Inf

K = 2, Run (1,6,1): fitness => -Inf
K = 2, Run (1,6,2): fitness => -Inf
K = 2, Run (1,6,3): fitness => -Inf
K = 2, Run (1,6,4): fitness => -Inf
K = 2, Run (1,6,5): fitness => -Inf

K = 2, Run (1,7,1): fitness => -Inf
K = 2, Run (1,7,2): fitness => -Inf
K = 2, Run (1,7,3): fitness => -Inf
K = 2, Run (1,7,4): fitness => -Inf
K = 2, Run (1,7,5): fitness => -Inf

K = 2, Run (1,8,1): fitness => -Inf
K = 2, Run (1,8,2): fitness => -Inf
K = 2, Run (1,8,3): fitness => -Inf
K = 2, Run (1,8,4): fitness => -Inf
K = 2, Run (1,8,5): fitness => -Inf

K = 2, Run (1,9,1): fitness => -Inf
K = 2, Run (1,9,2): fitness => -Inf
K = 2, Run (1,9,3): fitness => -Inf
K = 2, Run (1,9,4): fitness => -Inf
K = 2, Run (1,9,5): fitness => -Inf

K = 2, Run (1,10,1): fitness => -Inf
K = 2, Run (1,10,2): fitness => -Inf
K = 2, Run (1,10,3): fitness => -Inf
K = 2, Run (1,10,4): fitness => -Inf
K = 2, Run (1,10,5): fitness => -Inf

K = 2, Run (2,1,1): fitness => -Inf
K = 2, Run (2,1,2): fitness => -58.91
K = 2, Run (2,1,3): fitness => -58.68
K = 2, Run (2,1,4): fitness => -58.59
K = 2, Run (2,1,5): fitness => -58.57

K = 2, Run (2,2,1): fitness => -58.76
K = 2, Run (2,2,2): fitness => -58.64
K = 2, Run (2,2,3): fitness => -58.59
K = 2, Run (2,2,4): fitness => -58.57
K = 2, Run (2,2,5): fitness => -58.57

K = 2, Run (2,3,1): fitness => -58.60
K = 2, Run (2,3,2): fitness => -58.58
K = 2, Run (2,3,3): fitness => -58.57
K = 2, Run (2,3,4): fitness => -58.57
K = 2, Run (2,3,5): fitness => -58.57

K = 2, Run (2,4,1): fitness => -58.57
K = 2, Run (2,4,2): fitness => -58.57
K = 2, Run (2,4,3): fitness => -58.57
K = 2, Run (2,4,4): fitness => -58.57
K = 2, Run (2,4,5): fitness => -58.57

K = 2, Run (2,5,1): fitness => -58.57
K = 2, Run (2,5,2): fitness => -58.57
K = 2, Run (2,5,3): fitness => -58.57
K = 2, Run (2,5,4): fitness => -58.57
K = 2, Run (2,5,5): fitness => -58.57

K = 2, Run (2,6,1): fitness => -58.57
K = 2, Run (2,6,2): fitness => -58.57
K = 2, Run (2,6,3): fitness => -58.57
