K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,10,3): fitness => -7.16
K = 2, Run (1,10,4): fitness => -7.16
K = 2, Run (1,10,5): fitness => -7.16

K = 2, Run (2,1,1): fitness => -9.06
K = 2, Run (2,1,2): fitness => -8.58
K = 2, Run (2,1,3): fitness => -8.06
K = 2, Run (2,1,4): fitness => -7.74
K = 2, Run (2,1,5): fitness => -7.56

K = 2, Run (2,2,1): fitness => -8.42
K = 2, Run (2,2,2): fitness => -8.05
K = 2, Run (2,2,3): fitness => -7.74
K = 2, Run (2,2,4): fitness => -7.56
K = 2, Run (2,2,5): fitness => -7.56

K = 2, Run (2,3,1): fitness => -7.87
K = 2, Run (2,3,2): fitness => -7.64
K = 2, Run (2,3,3): fitness => -7.56
K = 2, Run (2,3,4): fitness => -7.56
K = 2, Run (2,3,5): fitness => -7.56

K = 2, Run (2,4,1): fitness => -7.56
K = 2, Run (2,4,2): fitness => -7.56
K = 2, Run (2,4,3): fitness => -7.56
K = 2, Run (2,4,4): fitness => -7.56
K = 2, Run (2,4,5): fitness => -7.56

K = 2, Run (2,5,1): fitness => -7.56
K = 2, Run (2,5,2): fitness => -7.56
K = 2, Run (2,5,3): fitness => -7.56
K = 2, Run (2,5,4): fitness => -7.56
K = 2, Run (2,5,5): fitness => -7.56

K = 2, Run (2,6,1): fitness => -7.56
K = 2, Run (2,6,2): fitness => -7.56
K = 2, Run (2,6,3): fitness => -7.56
K = 2, Run (2,6,4): fitness => -7.56
K = 2, Run (2,6,5): fitness => -7.56

K = 2, Run (2,7,1): fitness => -7.56
K = 2, Run (2,7,2): fitness => -7.56
K = 2, Run (2,7,3): fitness => -7.56
K = 2, Run (2,7,4): fitness => -7.56
K = 2, Run (2,7,5): fitness => -7.56

K = 2, Run (2,8,1): fitness => -7.56
K = 2, Run (2,8,2): fitness => -7.56
K = 2, Run (2,8,3): fitness => -7.56
K = 2, Run (2,8,4): fitness => -7.56
K = 2, Run (2,8,5): fitness => -7.56

K = 2, Run (2,9,1): fitness => -7.56
K = 2, Run (2,9,2): fitness => -7.56
K = 2, Run (2,9,3): fitness => -7.56
K = 2, Run (2,9,4): fitness => -7.56
K = 2, Run (2,9,5): fitness => -7.56

K = 2, Run (2,10,1): fitness => -7.56
K = 2, Run (2,10,2): fitness => -7.56
K = 2, Run (2,10,3): fitness => -7.56
K = 2, Run (2,10,4): fitness => -7.56
K = 2, Run (2,10,5): fitness => -7.56

#-7.16

real	0m0.803s
user	0m0.632s
sys	0m0.085s
K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -9.42
K = 2, Run (1,1,2): fitness => -9.20
K = 2, Run (1,1,3): fitness => -9.01
K = 2, Run (1,1,4): fitness => -8.88
K = 2, Run (1,1,5): fitness => -8.76

K = 2, Run (1,2,1): fitness => -9.18
K = 2, Run (1,2,2): fitness => -9.04
K = 2, Run (1,2,3): fitness => -8.88
K = 2, Run (1,2,4): fitness => -8.76
K = 2, Run (1,2,5): fitness => -8.76

K = 2, Run (1,3,1): fitness => -8.97
K = 2, Run (1,3,2): fitness => -8.82
K = 2, Run (1,3,3): fitness => -8.76
K = 2, Run (1,3,4): fitness => -8.76
K = 2, Run (1,3,5): fitness => -8.76

K = 2, Run (1,4,1): fitness => -8.76
K = 2, Run (1,4,2): fitness => -8.76
K = 2, Run (1,4,3): fitness => -8.76
K = 2, Run (1,4,4): fitness => -8.76
K = 2, Run (1,4,5): fitness => -8.76

K = 2, Run (1,5,1): fitness => -8.76
K = 2, Run (1,5,2): fitness => -8.76
K = 2, Run (1,5,3): fitness => -8.76
K = 2, Run (1,5,4): fitness => -8.76
K = 2, Run (1,5,5): fitness => -8.76

K = 2, Run (1,6,1): fitness => -8.76
K = 2, Run (1,6,2): fitness => -8.76
K = 2, Run (1,6,3): fitness => -8.76
K = 2, Run (1,6,4): fitness => -8.76
K = 2, Run (1,6,5): fitness => -8.76

K = 2, Run (1,7,1): fitness => -8.76
K = 2, Run (1,7,2): fitness => -8.76
K = 2, Run (1,7,3): fitness => -8.76
K = 2, Run (1,7,4): fitness => -8.76
K = 2, Run (1,7,5): fitness => -8.76

K = 2, Run (1,8,1): fitness => -8.76
K = 2, Run (1,8,2): fitness => -8.76
K = 2, Run (1,8,3): fitness => -8.76
K = 2, Run (1,8,4): fitness => -8.76
K = 2, Run (1,8,5): fitness => -8.76

K = 2, Run (1,9,1): fitness => -8.76
K = 2, Run (1,9,2): fitness => -8.76
K = 2, Run (1,9,3): fitness => -8.76
K = 2, Run (1,9,4): fitness => -8.76
K = 2, Run (1,9,5): fitness => -8.76

K = 2, Run (1,10,1): fitness => -8.76
K = 2, Run (1,10,2): fitness => -8.76
K = 2, Run (1,10,3): fitness => -8.76
K = 2, Run (1,10,4): fitness => -8.76
K = 2, Run (1,10,5): fitness => -8.76

K = 2, Run (2,1,1): fitness => -9.66
K = 2, Run (2,1,2): fitness => -9.47
K = 2, Run (2,1,3): fitness => -9.33
K = 2, Run (2,1,4): fitness => -9.24
K = 2, Run (2,1,5): fitness => -9.21

K = 2, Run (2,2,1): fitness => -9.41
K = 2, Run (2,2,2): fitness => -9.31
K = 2, Run (2,2,3): fitness => -9.24
K = 2, Run (2,2,4): fitness => -9.21
K = 2, Run (2,2,5): fitness => -9.21

K = 2, Run (2,3,1): fitness => -9.26
K = 2, Run (2,3,2): fitness => -9.22
K = 2, Run (2,3,3): fitness => -9.21
K = 2, Run (2,3,4): fitness => -9.21
K = 2, Run (2,3,5): fitness => -9.21

K = 2, Run (2,4,1): fitness => -9.21
K = 2, Run (2,4,2): fitness => -9.21
K = 2, Run (2,4,3): fitness => -9.21
K = 2, Run (2,4,4): fitness => -9.21
K = 2, Run (2,4,5): fitness => -9.21

K = 2, Run (2,5,1): fitness => -9.21
K = 2, Run (2,5,2): fitness => -9.21
K = 2, Run (2,5,3): fitness => -9.21
K = 2, Run (2,5,4): fitness => -9.21
K = 2, Run (2,5,5): fitness => -9.21

K = 2, Run (2,6,1): fitness => -9.21
K = 2, Run (2,6,2): fitness => -9.21
K = 2, Run (2,6,3): fitness => -9.21
K = 2, Run (2,6,4): fitness => -9.21
K = 2, Run (2,6,5): fitness => -9.21

K = 2, Run (2,7,1): fitness => -9.21
K = 2, Run (2,7,2): fitness => -9.21
K = 2, Run (2,7,3): fitness => -9.21
K = 2, Run (2,7,4): fitness => -9.21
K = 2, Run (2,7,5): fitness => -9.21

K = 2, Run (2,8,1): fitness => -9.21
K = 2, Run (2,8,2): fitness => -9.21
K = 2, Run (2,8,3): fitness => -9.21
K = 2, Run (2,8,4): fitness => -9.21
K = 2, Run (2,8,5): fitness => -9.21

K = 2, Run (2,9,1): fitness => -9.21
K = 2, Run (2,9,2): fitness => -9.21
K = 2, Run (2,9,3): fitness => -9.21
K = 2, Run (2,9,4): fitness => -9.21
K = 2, Run (2,9,5): fitness => -9.21

K = 2, Run (2,10,1): fitness => -9.21
K = 2, Run (2,10,2): fitness => -9.21
K = 2, Run (2,10,3): fitness => -9.21
K = 2, Run (2,10,4): fitness => -9.21
K = 2, Run (2,10,5): fitness => -9.21

#-8.76

real	0m1.751s
user	0m0.759s
sys	0m0.094s
K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -8.12
K = 2, Run (1,1,2): fitness => -7.76
K = 2, Run (1,1,3): fitness => -7.42
K = 2, Run (1,1,4): fitness => -7.22
K = 2, Run (1,1,5): fitness => -7.05

K = 2, Run (1,2,1): fitness => -7.69
K = 2, Run (1,2,2): fitness => -7.46
K = 2, Run (1,2,3): fitness => -7.22
K = 2, Run (1,2,4): fitness => -7.05
K = 2, Run (1,2,5): fitness => -7.05

K = 2, Run (1,3,1): fitness => -7.35
K = 2, Run (1,3,2): fitness => -7.13
K = 2, Run (1,3,3): fitness => -7.05
K = 2, Run (1,3,4): fitness => -7.05
K = 2, Run (1,3,5): fitness => -7.05

K = 2, Run (1,4,1): fitness => -7.05
K = 2, Run (1,4,2): fitness => -7.05
K = 2, Run (1,4,3): fitness => -7.05
K = 2, Run (1,4,4): fitness => -7.05
K = 2, Run (1,4,5): fitness => -7.05

K = 2, Run (1,5,1): fitness => -7.05
K = 2, Run (1,5,2): fitness => -7.05
K = 2, Run (1,5,3): fitness => -7.05
K = 2, Run (1,5,4): fitness => -7.05
K = 2, Run (1,5,5): fitness => -7.05

K = 2, Run (1,6,1): fitness => -7.05
K = 2, Run (1,6,2): fitness => -7.05
K = 2, Run (1,6,3): fitness => -7.05
K = 2, Run (1,6,4): fitness => -7.05
K = 2, Run (1,6,5): fitness => -7.05

K = 2, Run (1,7,1): fitness => -7.05
K = 2, Run (1,7,2): fitness => -7.05
K = 2, Run (1,7,3): fitness => -7.05
K = 2, Run (1,7,4): fitness => -7.05
K = 2, Run (1,7,5): fitness => -7.05

K = 2, Run (1,8,1): fitness => -7.05
K = 2, Run (1,8,2): fitness => -7.05
K = 2, Run (1,8,3): fitness => -7.05
K = 2, Run (1,8,4): fitness => -7.05
K = 2, Run (1,8,5): fitness => -7.05

K = 2, Run (1,9,1): fitness => -7.05
K = 2, Run (1,9,2): fitness => -7.05
K = 2, Run (1,9,3): fitness => -7.05
K = 2, Run (1,9,4): fitness => -7.05
K = 2, Run (1,9,5): fitness => -7.05

K = 2, Run (1,10,1): fitness => -7.05
K = 2, Run (1,10,2): fitness => -7.05
K = 2, Run (1,10,3): fitness => -7.05
K = 2, Run (1,10,4): fitness => -7.05
K = 2, Run (1,10,5): fitness => -7.05

K = 2, Run (2,1,1): fitness => -8.62
K = 2, Run (2,1,2): fitness => -8.21
K = 2, Run (2,1,3): fitness => -7.72
K = 2, Run (2,1,4): fitness => -7.34
K = 2, Run (2,1,5): fitness => -7.02

K = 2, Run (2,2,1): fitness => -8.23
K = 2, Run (2,2,2): fitness => -7.79
K = 2, Run (2,2,3): fitness => -7.34
K = 2, Run (2,2,4): fitness => -7.02
K = 2, Run (2,2,5): fitness => -7.02

K = 2, Run (2,3,1): fitness => -7.56
K = 2, Run (2,3,2): fitness => -7.16
K = 2, Run (2,3,3): fitness => -7.02
K = 2, Run (2,3,4): fitness => -7.02
K = 2, Run (2,3,5): fitness => -7.02

K = 2, Run (2,4,1): fitness => -7.02
K = 2, Run (2,4,2): fitness => -7.02
K = 2, Run (2,4,3): fitness => -7.02
K = 2, Run (2,4,4): fitness => -7.02
K = 2, Run (2,4,5): fitness => -7.02

K = 2, Run (2,5,1): fitness => -7.02
K = 2, Run (2,5,2): fitness => -7.02
K = 2, Run (2,5,3): fitness => -7.02
K = 2, Run (2,5,4): fitness => -7.02
