K = 8, D = 4, C = 4
config1 =

  scalar structure containing the fields:

    ndisc =  4
    ncont =  4
    nintr = 0


K = 8, Run (1,7,2): fitness => -9.18
K = 8, Run (1,7,3): fitness => -9.18
K = 8, Run (1,7,4): fitness => -9.18
K = 8, Run (1,7,5): fitness => -9.18

K = 8, Run (1,8,1): fitness => -9.18
K = 8, Run (1,8,2): fitness => -9.18
K = 8, Run (1,8,3): fitness => -9.18
K = 8, Run (1,8,4): fitness => -9.18
K = 8, Run (1,8,5): fitness => -9.18

K = 8, Run (1,9,1): fitness => -9.18
K = 8, Run (1,9,2): fitness => -9.18
K = 8, Run (1,9,3): fitness => -9.18
K = 8, Run (1,9,4): fitness => -9.18
K = 8, Run (1,9,5): fitness => -9.18

K = 8, Run (1,10,1): fitness => -9.18
K = 8, Run (1,10,2): fitness => -9.18
K = 8, Run (1,10,3): fitness => -9.18
K = 8, Run (1,10,4): fitness => -9.18
K = 8, Run (1,10,5): fitness => -9.18

K = 8, Run (2,1,1): fitness => -9.78
K = 8, Run (2,1,2): fitness => -9.71
K = 8, Run (2,1,3): fitness => -9.63
K = 8, Run (2,1,4): fitness => -9.59
K = 8, Run (2,1,5): fitness => -9.55

K = 8, Run (2,2,1): fitness => -9.69
K = 8, Run (2,2,2): fitness => -9.64
K = 8, Run (2,2,3): fitness => -9.59
K = 8, Run (2,2,4): fitness => -9.55
K = 8, Run (2,2,5): fitness => -9.55

K = 8, Run (2,3,1): fitness => -9.62
K = 8, Run (2,3,2): fitness => -9.57
K = 8, Run (2,3,3): fitness => -9.55
K = 8, Run (2,3,4): fitness => -9.55
K = 8, Run (2,3,5): fitness => -9.55

K = 8, Run (2,4,1): fitness => -9.55
K = 8, Run (2,4,2): fitness => -9.55
K = 8, Run (2,4,3): fitness => -9.55
K = 8, Run (2,4,4): fitness => -9.55
K = 8, Run (2,4,5): fitness => -9.55

K = 8, Run (2,5,1): fitness => -9.55
K = 8, Run (2,5,2): fitness => -9.55
K = 8, Run (2,5,3): fitness => -9.55
K = 8, Run (2,5,4): fitness => -9.55
K = 8, Run (2,5,5): fitness => -9.55

K = 8, Run (2,6,1): fitness => -9.55
K = 8, Run (2,6,2): fitness => -9.55
K = 8, Run (2,6,3): fitness => -9.55
