K = 3, D = 1, C = 2
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  2
    nintr = 0


K = 3, Run (1,1,1): fitness => -9.01
K = 3, Run (1,1,2): fitness => -8.85
K = 3, Run (1,1,3): fitness => -8.72
K = 3, Run (1,1,4): fitness => -8.65
K = 3, Run (1,1,5): fitness => -8.65

K = 3, Run (1,2,1): fitness => -8.78
K = 3, Run (1,2,2): fitness => -8.68
K = 3, Run (1,2,3): fitness => -8.65
K = 3, Run (1,2,4): fitness => -8.65
K = 3, Run (1,2,5): fitness => -8.65

K = 3, Run (1,3,1): fitness => -8.65
K = 3, Run (1,3,2): fitness => -8.65
K = 3, Run (1,3,3): fitness => -8.65
K = 3, Run (1,3,4): fitness => -8.65
K = 3, Run (1,3,5): fitness => -8.65

K = 3, Run (1,4,1): fitness => -8.65
K = 3, Run (1,4,2): fitness => -8.65
K = 3, Run (1,4,3): fitness => -8.65
K = 3, Run (1,4,4): fitness => -8.65
K = 3, Run (1,4,5): fitness => -8.65

K = 3, Run (1,5,1): fitness => -8.65
K = 3, Run (1,5,2): fitness => -8.65
K = 3, Run (1,5,3): fitness => -8.65
K = 3, Run (1,5,4): fitness => -8.65
K = 3, Run (1,5,5): fitness => -8.65

K = 3, Run (1,6,1): fitness => -8.65
K = 3, Run (1,6,2): fitness => -8.65
K = 3, Run (1,6,3): fitness => -8.65
K = 3, Run (1,6,4): fitness => -8.65
K = 3, Run (1,6,5): fitness => -8.65

K = 3, Run (1,7,1): fitness => -8.65
K = 3, Run (1,7,2): fitness => -8.65
K = 3, Run (1,7,3): fitness => -8.65
K = 3, Run (1,7,4): fitness => -8.65
K = 3, Run (1,7,5): fitness => -8.65

K = 3, Run (1,8,1): fitness => -8.65
K = 3, Run (1,8,2): fitness => -8.65
K = 3, Run (1,8,3): fitness => -8.65
K = 3, Run (1,8,4): fitness => -8.65
K = 3, Run (1,8,5): fitness => -8.65

K = 3, Run (1,9,1): fitness => -8.65
K = 3, Run (1,9,2): fitness => -8.65
K = 3, Run (1,9,3): fitness => -8.65
K = 3, Run (1,9,4): fitness => -8.65
K = 3, Run (1,9,5): fitness => -8.65

K = 3, Run (1,10,1): fitness => -8.65
K = 3, Run (1,10,2): fitness => -8.65
K = 3, Run (1,10,3): fitness => -8.65
K = 3, Run (1,10,4): fitness => -8.65
K = 3, Run (1,10,5): fitness => -8.65

K = 3, Run (2,1,1): fitness => -8.21
K = 3, Run (2,1,2): fitness => -7.93
K = 3, Run (2,1,3): fitness => -7.74
K = 3, Run (2,1,4): fitness => -7.65
K = 3, Run (2,1,5): fitness => -7.64

K = 3, Run (2,2,1): fitness => -7.80
K = 3, Run (2,2,2): fitness => -7.70
K = 3, Run (2,2,3): fitness => -7.65
K = 3, Run (2,2,4): fitness => -7.64
K = 3, Run (2,2,5): fitness => -7.64

K = 3, Run (2,3,1): fitness => -7.65
K = 3, Run (2,3,2): fitness => -7.64
K = 3, Run (2,3,3): fitness => -7.64
K = 3, Run (2,3,4): fitness => -7.64
K = 3, Run (2,3,5): fitness => -7.64

K = 3, Run (2,4,1): fitness => -7.64
K = 3, Run (2,4,2): fitness => -7.64
K = 3, Run (2,4,3): fitness => -7.64
K = 3, Run (2,4,4): fitness => -7.64
K = 3, Run (2,4,5): fitness => -7.64

K = 3, Run (2,5,1): fitness => -7.64
K = 3, Run (2,5,2): fitness => -7.64
K = 3, Run (2,5,3): fitness => -7.64
K = 3, Run (2,5,4): fitness => -7.64
K = 3, Run (2,5,5): fitness => -7.64

K = 3, Run (2,6,1): fitness => -7.64
K = 3, Run (2,6,2): fitness => -7.64
K = 3, Run (2,6,3): fitness => -7.64
K = 3, Run (2,6,4): fitness => -7.64
K = 3, Run (2,6,5): fitness => -7.64

K = 3, Run (2,7,1): fitness => -7.64
K = 3, Run (2,7,2): fitness => -7.64
K = 3, Run (2,7,3): fitness => -7.64
K = 3, Run (2,7,4): fitness => -7.64
K = 3, Run (2,7,5): fitness => -7.64

K = 3, Run (2,8,1): fitness => -7.64
K = 3, Run (2,8,2): fitness => -7.64
K = 3, Run (2,8,3): fitness => -7.64
K = 3, Run (2,8,4): fitness => -7.64
K = 3, Run (2,8,5): fitness => -7.64

K = 3, Run (2,9,1): fitness => -7.64
K = 3, Run (2,9,2): fitness => -7.64
K = 3, Run (2,9,3): fitness => -7.64
K = 3, Run (2,9,4): fitness => -7.64
K = 3, Run (2,9,5): fitness => -7.64

K = 3, Run (2,10,1): fitness => -7.64
K = 3, Run (2,10,2): fitness => -7.64
K = 3, Run (2,10,3): fitness => -7.64
K = 3, Run (2,10,4): fitness => -7.64
K = 3, Run (2,10,5): fitness => -7.64

#-7.64

real	0m0.935s
user	0m0.619s
sys	0m0.112s
K = 3, D = 1, C = 2
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  2
    nintr = 0


K = 3, Run (1,1,1): fitness => -8.22
K = 3, Run (1,1,2): fitness => -8.08
K = 3, Run (1,1,3): fitness => -7.96
K = 3, Run (1,1,4): fitness => -7.88
