K = 8, D = 1, C = 7
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  7
    nintr = 0


K = 8, Run (1,7,2): fitness => -9.95
K = 8, Run (1,7,3): fitness => -9.95
K = 8, Run (1,7,4): fitness => -9.95
K = 8, Run (1,7,5): fitness => -9.95

K = 8, Run (1,8,1): fitness => -9.95
K = 8, Run (1,8,2): fitness => -9.95
K = 8, Run (1,8,3): fitness => -9.95
K = 8, Run (1,8,4): fitness => -9.95
K = 8, Run (1,8,5): fitness => -9.95

K = 8, Run (1,9,1): fitness => -9.95
K = 8, Run (1,9,2): fitness => -9.95
K = 8, Run (1,9,3): fitness => -9.95
K = 8, Run (1,9,4): fitness => -9.95
K = 8, Run (1,9,5): fitness => -9.95

K = 8, Run (1,10,1): fitness => -9.95
K = 8, Run (1,10,2): fitness => -9.95
K = 8, Run (1,10,3): fitness => -9.95
K = 8, Run (1,10,4): fitness => -9.95
K = 8, Run (1,10,5): fitness => -9.95

K = 8, Run (2,1,1): fitness => -10.06
K = 8, Run (2,1,2): fitness => -9.94
K = 8, Run (2,1,3): fitness => -9.82
K = 8, Run (2,1,4): fitness => -9.75
K = 8, Run (2,1,5): fitness => -9.68

K = 8, Run (2,2,1): fitness => -9.91
K = 8, Run (2,2,2): fitness => -9.84
K = 8, Run (2,2,3): fitness => -9.75
K = 8, Run (2,2,4): fitness => -9.68
K = 8, Run (2,2,5): fitness => -9.68

K = 8, Run (2,3,1): fitness => -9.80
K = 8, Run (2,3,2): fitness => -9.71
K = 8, Run (2,3,3): fitness => -9.68
K = 8, Run (2,3,4): fitness => -9.68
K = 8, Run (2,3,5): fitness => -9.68

K = 8, Run (2,4,1): fitness => -9.68
K = 8, Run (2,4,2): fitness => -9.68
K = 8, Run (2,4,3): fitness => -9.68
K = 8, Run (2,4,4): fitness => -9.68
K = 8, Run (2,4,5): fitness => -9.68

K = 8, Run (2,5,1): fitness => -9.68
K = 8, Run (2,5,2): fitness => -9.68
K = 8, Run (2,5,3): fitness => -9.68
K = 8, Run (2,5,4): fitness => -9.68
K = 8, Run (2,5,5): fitness => -9.68

K = 8, Run (2,6,1): fitness => -9.68
K = 8, Run (2,6,2): fitness => -9.68
K = 8, Run (2,6,3): fitness => -9.68
K = 8, Run (2,6,4): fitness => -9.68
K = 8, Run (2,6,5): fitness => -9.68

K = 8, Run (2,7,1): fitness => -9.68
K = 8, Run (2,7,2): fitness => -9.68
K = 8, Run (2,7,3): fitness => -9.68
K = 8, Run (2,7,4): fitness => -9.68
K = 8, Run (2,7,5): fitness => -9.68

K = 8, Run (2,8,1): fitness => -9.68
K = 8, Run (2,8,2): fitness => -9.68
K = 8, Run (2,8,3): fitness => -9.68
K = 8, Run (2,8,4): fitness => -9.68
K = 8, Run (2,8,5): fitness => -9.68

K = 8, Run (2,9,1): fitness => -9.68
K = 8, Run (2,9,2): fitness => -9.68
K = 8, Run (2,9,3): fitness => -9.68
K = 8, Run (2,9,4): fitness => -9.68
K = 8, Run (2,9,5): fitness => -9.68

K = 8, Run (2,10,1): fitness => -9.68
K = 8, Run (2,10,2): fitness => -9.68
K = 8, Run (2,10,3): fitness => -9.68
K = 8, Run (2,10,4): fitness => -9.68
K = 8, Run (2,10,5): fitness => -9.68

#-9.68

real	0m2.988s
user	0m2.129s
sys	0m0.154s
K = 8, D = 1, C = 7
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  7
    nintr = 0


K = 8, Run (1,1,1): fitness => -11.42
K = 8, Run (1,1,2): fitness => -11.31
K = 8, Run (1,1,3): fitness => -11.25
K = 8, Run (1,1,4): fitness => -11.22
K = 8, Run (1,1,5): fitness => -11.18

K = 8, Run (1,2,1): fitness => -11.30
K = 8, Run (1,2,2): fitness => -11.26
K = 8, Run (1,2,3): fitness => -11.22
K = 8, Run (1,2,4): fitness => -11.18
K = 8, Run (1,2,5): fitness => -11.18

K = 8, Run (1,3,1): fitness => -11.24
K = 8, Run (1,3,2): fitness => -11.20
K = 8, Run (1,3,3): fitness => -11.18
K = 8, Run (1,3,4): fitness => -11.18
K = 8, Run (1,3,5): fitness => -11.18

K = 8, Run (1,4,1): fitness => -11.18
K = 8, Run (1,4,2): fitness => -11.18
K = 8, Run (1,4,3): fitness => -11.18
K = 8, Run (1,4,4): fitness => -11.18
K = 8, Run (1,4,5): fitness => -11.18

K = 8, Run (1,5,1): fitness => -11.18
K = 8, Run (1,5,2): fitness => -11.18
K = 8, Run (1,5,3): fitness => -11.18
K = 8, Run (1,5,4): fitness => -11.18
K = 8, Run (1,5,5): fitness => -11.18

K = 8, Run (1,6,1): fitness => -11.18
K = 8, Run (1,6,2): fitness => -11.18
K = 8, Run (1,6,3): fitness => -11.18
K = 8, Run (1,6,4): fitness => -11.18
K = 8, Run (1,6,5): fitness => -11.18

K = 8, Run (1,7,1): fitness => -11.18
K = 8, Run (1,7,2): fitness => -11.18
K = 8, Run (1,7,3): fitness => -11.18
K = 8, Run (1,7,4): fitness => -11.18
K = 8, Run (1,7,5): fitness => -11.18

K = 8, Run (1,8,1): fitness => -11.18
K = 8, Run (1,8,2): fitness => -11.18
K = 8, Run (1,8,3): fitness => -11.18
K = 8, Run (1,8,4): fitness => -11.18
K = 8, Run (1,8,5): fitness => -11.18

K = 8, Run (1,9,1): fitness => -11.18
K = 8, Run (1,9,2): fitness => -11.18
K = 8, Run (1,9,3): fitness => -11.18
K = 8, Run (1,9,4): fitness => -11.18
K = 8, Run (1,9,5): fitness => -11.18

K = 8, Run (1,10,1): fitness => -11.18
K = 8, Run (1,10,2): fitness => -11.18
K = 8, Run (1,10,3): fitness => -11.18
K = 8, Run (1,10,4): fitness => -11.18
K = 8, Run (1,10,5): fitness => -11.18

K = 8, Run (2,1,1): fitness => -11.73
K = 8, Run (2,1,2): fitness => -11.65
K = 8, Run (2,1,3): fitness => -11.57
K = 8, Run (2,1,4): fitness => -11.51
K = 8, Run (2,1,5): fitness => -11.45

K = 8, Run (2,2,1): fitness => -11.65
K = 8, Run (2,2,2): fitness => -11.58
K = 8, Run (2,2,3): fitness => -11.51
K = 8, Run (2,2,4): fitness => -11.45
K = 8, Run (2,2,5): fitness => -11.45

K = 8, Run (2,3,1): fitness => -11.55
K = 8, Run (2,3,2): fitness => -11.48
K = 8, Run (2,3,3): fitness => -11.45
K = 8, Run (2,3,4): fitness => -11.45
K = 8, Run (2,3,5): fitness => -11.45

K = 8, Run (2,4,1): fitness => -11.45
K = 8, Run (2,4,2): fitness => -11.45
K = 8, Run (2,4,3): fitness => -11.45
K = 8, Run (2,4,4): fitness => -11.45
K = 8, Run (2,4,5): fitness => -11.45

K = 8, Run (2,5,1): fitness => -11.45
K = 8, Run (2,5,2): fitness => -11.45
K = 8, Run (2,5,3): fitness => -11.45
K = 8, Run (2,5,4): fitness => -11.45
K = 8, Run (2,5,5): fitness => -11.45

K = 8, Run (2,6,1): fitness => -11.45
K = 8, Run (2,6,2): fitness => -11.45
K = 8, Run (2,6,3): fitness => -11.45
K = 8, Run (2,6,4): fitness => -11.45
K = 8, Run (2,6,5): fitness => -11.45

K = 8, Run (2,7,1): fitness => -11.45
K = 8, Run (2,7,2): fitness => -11.45
K = 8, Run (2,7,3): fitness => -11.45
K = 8, Run (2,7,4): fitness => -11.45
K = 8, Run (2,7,5): fitness => -11.45

K = 8, Run (2,8,1): fitness => -11.45
K = 8, Run (2,8,2): fitness => -11.45
K = 8, Run (2,8,3): fitness => -11.45
K = 8, Run (2,8,4): fitness => -11.45
K = 8, Run (2,8,5): fitness => -11.45

K = 8, Run (2,9,1): fitness => -11.45
K = 8, Run (2,9,2): fitness => -11.45
K = 8, Run (2,9,3): fitness => -11.45
K = 8, Run (2,9,4): fitness => -11.45
K = 8, Run (2,9,5): fitness => -11.45

K = 8, Run (2,10,1): fitness => -11.45
K = 8, Run (2,10,2): fitness => -11.45
K = 8, Run (2,10,3): fitness => -11.45
K = 8, Run (2,10,4): fitness => -11.45
K = 8, Run (2,10,5): fitness => -11.45

#-11.18

real	0m2.756s
user	0m2.017s
sys	0m0.157s
K = 8, D = 1, C = 7
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  7
    nintr = 0


K = 8, Run (1,1,1): fitness => -9.25
K = 8, Run (1,1,2): fitness => -9.18
K = 8, Run (1,1,3): fitness => -9.10
K = 8, Run (1,1,4): fitness => -9.08
K = 8, Run (1,1,5): fitness => -9.06

K = 8, Run (1,2,1): fitness => -9.13
K = 8, Run (1,2,2): fitness => -9.10
K = 8, Run (1,2,3): fitness => -9.08
K = 8, Run (1,2,4): fitness => -9.06
K = 8, Run (1,2,5): fitness => -9.06

K = 8, Run (1,3,1): fitness => -9.08
K = 8, Run (1,3,2): fitness => -9.07
K = 8, Run (1,3,3): fitness => -9.06
K = 8, Run (1,3,4): fitness => -9.06
K = 8, Run (1,3,5): fitness => -9.06

K = 8, Run (1,4,1): fitness => -9.06
K = 8, Run (1,4,2): fitness => -9.06
K = 8, Run (1,4,3): fitness => -9.06
K = 8, Run (1,4,4): fitness => -9.06
K = 8, Run (1,4,5): fitness => -9.06

K = 8, Run (1,5,1): fitness => -9.06
K = 8, Run (1,5,2): fitness => -9.06
K = 8, Run (1,5,3): fitness => -9.06
K = 8, Run (1,5,4): fitness => -9.06
K = 8, Run (1,5,5): fitness => -9.06

K = 8, Run (1,6,1): fitness => -9.06
K = 8, Run (1,6,2): fitness => -9.06
K = 8, Run (1,6,3): fitness => -9.06
K = 8, Run (1,6,4): fitness => -9.06
K = 8, Run (1,6,5): fitness => -9.06

K = 8, Run (1,7,1): fitness => -9.06
K = 8, Run (1,7,2): fitness => -9.06
K = 8, Run (1,7,3): fitness => -9.06
K = 8, Run (1,7,4): fitness => -9.06
K = 8, Run (1,7,5): fitness => -9.06

K = 8, Run (1,8,1): fitness => -9.06
K = 8, Run (1,8,2): fitness => -9.06
K = 8, Run (1,8,3): fitness => -9.06
K = 8, Run (1,8,4): fitness => -9.06
K = 8, Run (1,8,5): fitness => -9.06

K = 8, Run (1,9,1): fitness => -9.06
K = 8, Run (1,9,2): fitness => -9.06
K = 8, Run (1,9,3): fitness => -9.06
K = 8, Run (1,9,4): fitness => -9.06
K = 8, Run (1,9,5): fitness => -9.06

K = 8, Run (1,10,1): fitness => -9.06
K = 8, Run (1,10,2): fitness => -9.06
K = 8, Run (1,10,3): fitness => -9.06
K = 8, Run (1,10,4): fitness => -9.06
K = 8, Run (1,10,5): fitness => -9.06

K = 8, Run (2,1,1): fitness => -8.91
K = 8, Run (2,1,2): fitness => -8.80
K = 8, Run (2,1,3): fitness => -8.71
K = 8, Run (2,1,4): fitness => -8.68
K = 8, Run (2,1,5): fitness => -8.68

K = 8, Run (2,2,1): fitness => -8.73
K = 8, Run (2,2,2): fitness => -8.70
K = 8, Run (2,2,3): fitness => -8.68
K = 8, Run (2,2,4): fitness => -8.68
K = 8, Run (2,2,5): fitness => -8.68

K = 8, Run (2,3,1): fitness => -8.68
K = 8, Run (2,3,2): fitness => -8.68
K = 8, Run (2,3,3): fitness => -8.68
K = 8, Run (2,3,4): fitness => -8.68
K = 8, Run (2,3,5): fitness => -8.68

K = 8, Run (2,4,1): fitness => -8.68
K = 8, Run (2,4,2): fitness => -8.68
K = 8, Run (2,4,3): fitness => -8.68
K = 8, Run (2,4,4): fitness => -8.68
K = 8, Run (2,4,5): fitness => -8.68

K = 8, Run (2,5,1): fitness => -8.68
K = 8, Run (2,5,2): fitness => -8.68
K = 8, Run (2,5,3): fitness => -8.68
K = 8, Run (2,5,4): fitness => -8.68
K = 8, Run (2,5,5): fitness => -8.68

K = 8, Run (2,6,1): fitness => -8.68
K = 8, Run (2,6,2): fitness => -8.68
K = 8, Run (2,6,3): fitness => -8.68
K = 8, Run (2,6,4): fitness => -8.68
K = 8, Run (2,6,5): fitness => -8.68

K = 8, Run (2,7,1): fitness => -8.68
K = 8, Run (2,7,2): fitness => -8.68
K = 8, Run (2,7,3): fitness => -8.68
K = 8, Run (2,7,4): fitness => -8.68
K = 8, Run (2,7,5): fitness => -8.68

K = 8, Run (2,8,1): fitness => -8.68
K = 8, Run (2,8,2): fitness => -8.68
K = 8, Run (2,8,3): fitness => -8.68
K = 8, Run (2,8,4): fitness => -8.68
K = 8, Run (2,8,5): fitness => -8.68

K = 8, Run (2,9,1): fitness => -8.68
K = 8, Run (2,9,2): fitness => -8.68
K = 8, Run (2,9,3): fitness => -8.68
K = 8, Run (2,9,4): fitness => -8.68
K = 8, Run (2,9,5): fitness => -8.68

K = 8, Run (2,10,1): fitness => -8.68
K = 8, Run (2,10,2): fitness => -8.68
K = 8, Run (2,10,3): fitness => -8.68
K = 8, Run (2,10,4): fitness => -8.68
K = 8, Run (2,10,5): fitness => -8.68

#-8.68

real	0m2.933s
user	0m2.052s
sys	0m0.149s
K = 8, D = 1, C = 7
config1 =

  scalar structure containing the fields:

    ndisc =  1
    ncont =  7
    nintr = 0


K = 8, Run (1,1,1): fitness => -12.32
K = 8, Run (1,1,2): fitness => -12.19
K = 8, Run (1,1,3): fitness => -12.07
K = 8, Run (1,1,4): fitness => -12.01
K = 8, Run (1,1,5): fitness => -11.96

K = 8, Run (1,2,1): fitness => -12.15
K = 8, Run (1,2,2): fitness => -12.08
K = 8, Run (1,2,3): fitness => -12.01
K = 8, Run (1,2,4): fitness => -11.96
K = 8, Run (1,2,5): fitness => -11.96

K = 8, Run (1,3,1): fitness => -12.04
K = 8, Run (1,3,2): fitness => -11.99
K = 8, Run (1,3,3): fitness => -11.96
K = 8, Run (1,3,4): fitness => -11.96
K = 8, Run (1,3,5): fitness => -11.96

K = 8, Run (1,4,1): fitness => -11.96
K = 8, Run (1,4,2): fitness => -11.96
K = 8, Run (1,4,3): fitness => -11.96
K = 8, Run (1,4,4): fitness => -11.96
K = 8, Run (1,4,5): fitness => -11.96

K = 8, Run (1,5,1): fitness => -11.96
K = 8, Run (1,5,2): fitness => -11.96
K = 8, Run (1,5,3): fitness => -11.96
K = 8, Run (1,5,4): fitness => -11.96
K = 8, Run (1,5,5): fitness => -11.96

K = 8, Run (1,6,1): fitness => -11.96
K = 8, Run (1,6,2): fitness => -11.96
K = 8, Run (1,6,3): fitness => -11.96
K = 8, Run (1,6,4): fitness => -11.96
K = 8, Run (1,6,5): fitness => -11.96

K = 8, Run (1,7,1): fitness => -11.96
K = 8, Run (1,7,2): fitness => -11.96
K = 8, Run (1,7,3): fitness => -11.96
K = 8, Run (1,7,4): fitness => -11.96
K = 8, Run (1,7,5): fitness => -11.96

K = 8, Run (1,8,1): fitness => -11.96
K = 8, Run (1,8,2): fitness => -11.96
