K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -7.99
K = 2, Run (1,1,2): fitness => -7.77
K = 2, Run (1,1,3): fitness => -7.61
K = 2, Run (1,1,4): fitness => -7.56
K = 2, Run (1,1,5): fitness => -7.56

K = 2, Run (1,2,1): fitness => -7.65
K = 2, Run (1,2,2): fitness => -7.59
K = 2, Run (1,2,3): fitness => -7.56
K = 2, Run (1,2,4): fitness => -7.56
K = 2, Run (1,2,5): fitness => -7.56

K = 2, Run (1,3,1): fitness => -7.57
K = 2, Run (1,3,2): fitness => -7.56
K = 2, Run (1,3,3): fitness => -7.56
K = 2, Run (1,3,4): fitness => -7.56
K = 2, Run (1,3,5): fitness => -7.56

K = 2, Run (1,4,1): fitness => -7.56
K = 2, Run (1,4,2): fitness => -7.56
K = 2, Run (1,4,3): fitness => -7.56
K = 2, Run (1,4,4): fitness => -7.56
K = 2, Run (1,4,5): fitness => -7.56

K = 2, Run (1,5,1): fitness => -7.56
K = 2, Run (1,5,2): fitness => -7.56
K = 2, Run (1,5,3): fitness => -7.56
K = 2, Run (1,5,4): fitness => -7.56
K = 2, Run (1,5,5): fitness => -7.56

K = 2, Run (1,6,1): fitness => -7.56
K = 2, Run (1,6,2): fitness => -7.56
K = 2, Run (1,6,3): fitness => -7.56
K = 2, Run (1,6,4): fitness => -7.56
K = 2, Run (1,6,5): fitness => -7.56

K = 2, Run (1,7,1): fitness => -7.56
K = 2, Run (1,7,2): fitness => -7.56
K = 2, Run (1,7,3): fitness => -7.56
K = 2, Run (1,7,4): fitness => -7.56
K = 2, Run (1,7,5): fitness => -7.56

K = 2, Run (1,8,1): fitness => -7.56
K = 2, Run (1,8,2): fitness => -7.56
K = 2, Run (1,8,3): fitness => -7.56
K = 2, Run (1,8,4): fitness => -7.56
K = 2, Run (1,8,5): fitness => -7.56

K = 2, Run (1,9,1): fitness => -7.56
K = 2, Run (1,9,2): fitness => -7.56
K = 2, Run (1,9,3): fitness => -7.56
K = 2, Run (1,9,4): fitness => -7.56
K = 2, Run (1,9,5): fitness => -7.56

K = 2, Run (1,10,1): fitness => -7.56
K = 2, Run (1,10,2): fitness => -7.56
K = 2, Run (1,10,3): fitness => -7.56
K = 2, Run (1,10,4): fitness => -7.56
K = 2, Run (1,10,5): fitness => -7.56

K = 2, Run (2,1,1): fitness => -9.25
K = 2, Run (2,1,2): fitness => -8.99
K = 2, Run (2,1,3): fitness => -8.81
K = 2, Run (2,1,4): fitness => -8.75
K = 2, Run (2,1,5): fitness => -8.69

K = 2, Run (2,2,1): fitness => -8.91
K = 2, Run (2,2,2): fitness => -8.83
K = 2, Run (2,2,3): fitness => -8.75
K = 2, Run (2,2,4): fitness => -8.69
K = 2, Run (2,2,5): fitness => -8.69

K = 2, Run (2,3,1): fitness => -8.79
K = 2, Run (2,3,2): fitness => -8.71
K = 2, Run (2,3,3): fitness => -8.69
K = 2, Run (2,3,4): fitness => -8.69
K = 2, Run (2,3,5): fitness => -8.69

K = 2, Run (2,4,1): fitness => -8.69
K = 2, Run (2,4,2): fitness => -8.69
K = 2, Run (2,4,3): fitness => -8.69
K = 2, Run (2,4,4): fitness => -8.69
K = 2, Run (2,4,5): fitness => -8.69

K = 2, Run (2,5,1): fitness => -8.69
K = 2, Run (2,5,2): fitness => -8.69
K = 2, Run (2,5,3): fitness => -8.69
K = 2, Run (2,5,4): fitness => -8.69
K = 2, Run (2,5,5): fitness => -8.69

K = 2, Run (2,6,1): fitness => -8.69
K = 2, Run (2,6,2): fitness => -8.69
K = 2, Run (2,6,3): fitness => -8.69
K = 2, Run (2,6,4): fitness => -8.69
K = 2, Run (2,6,5): fitness => -8.69

K = 2, Run (2,7,1): fitness => -8.69
K = 2, Run (2,7,2): fitness => -8.69
K = 2, Run (2,7,3): fitness => -8.69
K = 2, Run (2,7,4): fitness => -8.69
K = 2, Run (2,7,5): fitness => -8.69

K = 2, Run (2,8,1): fitness => -8.69
K = 2, Run (2,8,2): fitness => -8.69
K = 2, Run (2,8,3): fitness => -8.69
K = 2, Run (2,8,4): fitness => -8.69
K = 2, Run (2,8,5): fitness => -8.69

K = 2, Run (2,9,1): fitness => -8.69
K = 2, Run (2,9,2): fitness => -8.69
K = 2, Run (2,9,3): fitness => -8.69
K = 2, Run (2,9,4): fitness => -8.69
K = 2, Run (2,9,5): fitness => -8.69

K = 2, Run (2,10,1): fitness => -8.69
K = 2, Run (2,10,2): fitness => -8.69
K = 2, Run (2,10,3): fitness => -8.69
K = 2, Run (2,10,4): fitness => -8.69
K = 2, Run (2,10,5): fitness => -8.69

#-7.56

real	0m0.890s
user	0m0.542s
sys	0m0.122s
K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -7.42
K = 2, Run (1,1,2): fitness => -7.21
K = 2, Run (1,1,3): fitness => -7.01
K = 2, Run (1,1,4): fitness => -6.87
K = 2, Run (1,1,5): fitness => -6.75

K = 2, Run (1,2,1): fitness => -7.21
K = 2, Run (1,2,2): fitness => -7.05
K = 2, Run (1,2,3): fitness => -6.87
K = 2, Run (1,2,4): fitness => -6.75
K = 2, Run (1,2,5): fitness => -6.75

K = 2, Run (1,3,1): fitness => -6.96
K = 2, Run (1,3,2): fitness => -6.81
K = 2, Run (1,3,3): fitness => -6.75
K = 2, Run (1,3,4): fitness => -6.75
K = 2, Run (1,3,5): fitness => -6.75

K = 2, Run (1,4,1): fitness => -6.75
K = 2, Run (1,4,2): fitness => -6.75
K = 2, Run (1,4,3): fitness => -6.75
K = 2, Run (1,4,4): fitness => -6.75
K = 2, Run (1,4,5): fitness => -6.75

K = 2, Run (1,5,1): fitness => -6.75
K = 2, Run (1,5,2): fitness => -6.75
K = 2, Run (1,5,3): fitness => -6.75
K = 2, Run (1,5,4): fitness => -6.75
K = 2, Run (1,5,5): fitness => -6.75

K = 2, Run (1,6,1): fitness => -6.75
K = 2, Run (1,6,2): fitness => -6.75
K = 2, Run (1,6,3): fitness => -6.75
K = 2, Run (1,6,4): fitness => -6.75
K = 2, Run (1,6,5): fitness => -6.75

K = 2, Run (1,7,1): fitness => -6.75
K = 2, Run (1,7,2): fitness => -6.75
K = 2, Run (1,7,3): fitness => -6.75
K = 2, Run (1,7,4): fitness => -6.75
K = 2, Run (1,7,5): fitness => -6.75

K = 2, Run (1,8,1): fitness => -6.75
K = 2, Run (1,8,2): fitness => -6.75
K = 2, Run (1,8,3): fitness => -6.75
K = 2, Run (1,8,4): fitness => -6.75
K = 2, Run (1,8,5): fitness => -6.75

K = 2, Run (1,9,1): fitness => -6.75
K = 2, Run (1,9,2): fitness => -6.75
K = 2, Run (1,9,3): fitness => -6.75
K = 2, Run (1,9,4): fitness => -6.75
K = 2, Run (1,9,5): fitness => -6.75

K = 2, Run (1,10,1): fitness => -6.75
K = 2, Run (1,10,2): fitness => -6.75
K = 2, Run (1,10,3): fitness => -6.75
K = 2, Run (1,10,4): fitness => -6.75
K = 2, Run (1,10,5): fitness => -6.75

K = 2, Run (2,1,1): fitness => -8.08
K = 2, Run (2,1,2): fitness => -7.84
K = 2, Run (2,1,3): fitness => -7.69
K = 2, Run (2,1,4): fitness => -7.61
K = 2, Run (2,1,5): fitness => -7.54

K = 2, Run (2,2,1): fitness => -7.79
K = 2, Run (2,2,2): fitness => -7.71
K = 2, Run (2,2,3): fitness => -7.61
K = 2, Run (2,2,4): fitness => -7.54
K = 2, Run (2,2,5): fitness => -7.54

K = 2, Run (2,3,1): fitness => -7.66
K = 2, Run (2,3,2): fitness => -7.57
K = 2, Run (2,3,3): fitness => -7.54
K = 2, Run (2,3,4): fitness => -7.54
K = 2, Run (2,3,5): fitness => -7.54

K = 2, Run (2,4,1): fitness => -7.54
K = 2, Run (2,4,2): fitness => -7.54
K = 2, Run (2,4,3): fitness => -7.54
K = 2, Run (2,4,4): fitness => -7.54
K = 2, Run (2,4,5): fitness => -7.54

K = 2, Run (2,5,1): fitness => -7.54
K = 2, Run (2,5,2): fitness => -7.54
K = 2, Run (2,5,3): fitness => -7.54
K = 2, Run (2,5,4): fitness => -7.54
K = 2, Run (2,5,5): fitness => -7.54

K = 2, Run (2,6,1): fitness => -7.54
K = 2, Run (2,6,2): fitness => -7.54
K = 2, Run (2,6,3): fitness => -7.54
K = 2, Run (2,6,4): fitness => -7.54
K = 2, Run (2,6,5): fitness => -7.54

K = 2, Run (2,7,1): fitness => -7.54
K = 2, Run (2,7,2): fitness => -7.54
K = 2, Run (2,7,3): fitness => -7.54
K = 2, Run (2,7,4): fitness => -7.54
K = 2, Run (2,7,5): fitness => -7.54

K = 2, Run (2,8,1): fitness => -7.54
K = 2, Run (2,8,2): fitness => -7.54
K = 2, Run (2,8,3): fitness => -7.54
K = 2, Run (2,8,4): fitness => -7.54
K = 2, Run (2,8,5): fitness => -7.54

K = 2, Run (2,9,1): fitness => -7.54
K = 2, Run (2,9,2): fitness => -7.54
K = 2, Run (2,9,3): fitness => -7.54
K = 2, Run (2,9,4): fitness => -7.54
K = 2, Run (2,9,5): fitness => -7.54

K = 2, Run (2,10,1): fitness => -7.54
K = 2, Run (2,10,2): fitness => -7.54
K = 2, Run (2,10,3): fitness => -7.54
K = 2, Run (2,10,4): fitness => -7.54
K = 2, Run (2,10,5): fitness => -7.54

#-6.75

real	0m0.627s
user	0m0.514s
sys	0m0.069s
K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -6.77
K = 2, Run (1,1,2): fitness => -6.45
K = 2, Run (1,1,3): fitness => -6.27
K = 2, Run (1,1,4): fitness => -6.20
K = 2, Run (1,1,5): fitness => -6.17

K = 2, Run (1,2,1): fitness => -6.34
K = 2, Run (1,2,2): fitness => -6.25
K = 2, Run (1,2,3): fitness => -6.20
K = 2, Run (1,2,4): fitness => -6.17
K = 2, Run (1,2,5): fitness => -6.17

K = 2, Run (1,3,1): fitness => -6.21
K = 2, Run (1,3,2): fitness => -6.18
K = 2, Run (1,3,3): fitness => -6.17
K = 2, Run (1,3,4): fitness => -6.17
K = 2, Run (1,3,5): fitness => -6.17

K = 2, Run (1,4,1): fitness => -6.17
K = 2, Run (1,4,2): fitness => -6.17
K = 2, Run (1,4,3): fitness => -6.17
K = 2, Run (1,4,4): fitness => -6.17
K = 2, Run (1,4,5): fitness => -6.17

K = 2, Run (1,5,1): fitness => -6.17
K = 2, Run (1,5,2): fitness => -6.17
K = 2, Run (1,5,3): fitness => -6.17
K = 2, Run (1,5,4): fitness => -6.17
K = 2, Run (1,5,5): fitness => -6.17

K = 2, Run (1,6,1): fitness => -6.17
K = 2, Run (1,6,2): fitness => -6.17
K = 2, Run (1,6,3): fitness => -6.17
K = 2, Run (1,6,4): fitness => -6.17
K = 2, Run (1,6,5): fitness => -6.17

K = 2, Run (1,7,1): fitness => -6.17
K = 2, Run (1,7,2): fitness => -6.17
K = 2, Run (1,7,3): fitness => -6.17
K = 2, Run (1,7,4): fitness => -6.17
K = 2, Run (1,7,5): fitness => -6.17

K = 2, Run (1,8,1): fitness => -6.17
K = 2, Run (1,8,2): fitness => -6.17
K = 2, Run (1,8,3): fitness => -6.17
K = 2, Run (1,8,4): fitness => -6.17
K = 2, Run (1,8,5): fitness => -6.17

K = 2, Run (1,9,1): fitness => -6.17
K = 2, Run (1,9,2): fitness => -6.17
K = 2, Run (1,9,3): fitness => -6.17
K = 2, Run (1,9,4): fitness => -6.17
K = 2, Run (1,9,5): fitness => -6.17

K = 2, Run (1,10,1): fitness => -6.17
K = 2, Run (1,10,2): fitness => -6.17
K = 2, Run (1,10,3): fitness => -6.17
K = 2, Run (1,10,4): fitness => -6.17
K = 2, Run (1,10,5): fitness => -6.17

K = 2, Run (2,1,1): fitness => -6.63
K = 2, Run (2,1,2): fitness => -6.31
K = 2, Run (2,1,3): fitness => -6.05
K = 2, Run (2,1,4): fitness => -5.88
K = 2, Run (2,1,5): fitness => -5.80

K = 2, Run (2,2,1): fitness => -6.24
K = 2, Run (2,2,2): fitness => -6.03
K = 2, Run (2,2,3): fitness => -5.88
K = 2, Run (2,2,4): fitness => -5.80
K = 2, Run (2,2,5): fitness => -5.80

K = 2, Run (2,3,1): fitness => -5.94
K = 2, Run (2,3,2): fitness => -5.84
K = 2, Run (2,3,3): fitness => -5.80
K = 2, Run (2,3,4): fitness => -5.80
K = 2, Run (2,3,5): fitness => -5.80

K = 2, Run (2,4,1): fitness => -5.80
K = 2, Run (2,4,2): fitness => -5.80
K = 2, Run (2,4,3): fitness => -5.80
K = 2, Run (2,4,4): fitness => -5.80
K = 2, Run (2,4,5): fitness => -5.80

K = 2, Run (2,5,1): fitness => -5.80
K = 2, Run (2,5,2): fitness => -5.80
K = 2, Run (2,5,3): fitness => -5.80
K = 2, Run (2,5,4): fitness => -5.80
K = 2, Run (2,5,5): fitness => -5.80

K = 2, Run (2,6,1): fitness => -5.80
K = 2, Run (2,6,2): fitness => -5.80
K = 2, Run (2,6,3): fitness => -5.80
K = 2, Run (2,6,4): fitness => -5.80
K = 2, Run (2,6,5): fitness => -5.80

K = 2, Run (2,7,1): fitness => -5.80
K = 2, Run (2,7,2): fitness => -5.80
K = 2, Run (2,7,3): fitness => -5.80
K = 2, Run (2,7,4): fitness => -5.80
K = 2, Run (2,7,5): fitness => -5.80

K = 2, Run (2,8,1): fitness => -5.80
K = 2, Run (2,8,2): fitness => -5.80
K = 2, Run (2,8,3): fitness => -5.80
K = 2, Run (2,8,4): fitness => -5.80
K = 2, Run (2,8,5): fitness => -5.80

K = 2, Run (2,9,1): fitness => -5.80
K = 2, Run (2,9,2): fitness => -5.80
K = 2, Run (2,9,3): fitness => -5.80
K = 2, Run (2,9,4): fitness => -5.80
K = 2, Run (2,9,5): fitness => -5.80

K = 2, Run (2,10,1): fitness => -5.80
K = 2, Run (2,10,2): fitness => -5.80
K = 2, Run (2,10,3): fitness => -5.80
K = 2, Run (2,10,4): fitness => -5.80
K = 2, Run (2,10,5): fitness => -5.80

#-5.80

real	0m0.611s
user	0m0.506s
sys	0m0.065s
K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -5.55
K = 2, Run (1,1,2): fitness => -5.31
K = 2, Run (1,1,3): fitness => -5.11
K = 2, Run (1,1,4): fitness => -5.01
K = 2, Run (1,1,5): fitness => -4.93

K = 2, Run (1,2,1): fitness => -5.24
K = 2, Run (1,2,2): fitness => -5.12
K = 2, Run (1,2,3): fitness => -5.01
K = 2, Run (1,2,4): fitness => -4.93
K = 2, Run (1,2,5): fitness => -4.93

K = 2, Run (1,3,1): fitness => -5.06
K = 2, Run (1,3,2): fitness => -4.96
K = 2, Run (1,3,3): fitness => -4.93
K = 2, Run (1,3,4): fitness => -4.93
K = 2, Run (1,3,5): fitness => -4.93

K = 2, Run (1,4,1): fitness => -4.93
K = 2, Run (1,4,2): fitness => -4.93
K = 2, Run (1,4,3): fitness => -4.93
K = 2, Run (1,4,4): fitness => -4.93
K = 2, Run (1,4,5): fitness => -4.93

K = 2, Run (1,5,1): fitness => -4.93
K = 2, Run (1,5,2): fitness => -4.93
K = 2, Run (1,5,3): fitness => -4.93
K = 2, Run (1,5,4): fitness => -4.93
K = 2, Run (1,5,5): fitness => -4.93

K = 2, Run (1,6,1): fitness => -4.93
K = 2, Run (1,6,2): fitness => -4.93
K = 2, Run (1,6,3): fitness => -4.93
K = 2, Run (1,6,4): fitness => -4.93
K = 2, Run (1,6,5): fitness => -4.93

K = 2, Run (1,7,1): fitness => -4.93
K = 2, Run (1,7,2): fitness => -4.93
K = 2, Run (1,7,3): fitness => -4.93
K = 2, Run (1,7,4): fitness => -4.93
K = 2, Run (1,7,5): fitness => -4.93

K = 2, Run (1,8,1): fitness => -4.93
K = 2, Run (1,8,2): fitness => -4.93
K = 2, Run (1,8,3): fitness => -4.93
K = 2, Run (1,8,4): fitness => -4.93
K = 2, Run (1,8,5): fitness => -4.93

K = 2, Run (1,9,1): fitness => -4.93
K = 2, Run (1,9,2): fitness => -4.93
K = 2, Run (1,9,3): fitness => -4.93
K = 2, Run (1,9,4): fitness => -4.93
K = 2, Run (1,9,5): fitness => -4.93

K = 2, Run (1,10,1): fitness => -4.93
K = 2, Run (1,10,2): fitness => -4.93
K = 2, Run (1,10,3): fitness => -4.93
K = 2, Run (1,10,4): fitness => -4.93
K = 2, Run (1,10,5): fitness => -4.93

K = 2, Run (2,1,1): fitness => -6.15
K = 2, Run (2,1,2): fitness => -5.97
K = 2, Run (2,1,3): fitness => -5.80
K = 2, Run (2,1,4): fitness => -5.72
K = 2, Run (2,1,5): fitness => -5.64

K = 2, Run (2,2,1): fitness => -5.91
K = 2, Run (2,2,2): fitness => -5.82
K = 2, Run (2,2,3): fitness => -5.72
K = 2, Run (2,2,4): fitness => -5.64
K = 2, Run (2,2,5): fitness => -5.64

K = 2, Run (2,3,1): fitness => -5.77
K = 2, Run (2,3,2): fitness => -5.67
K = 2, Run (2,3,3): fitness => -5.64
K = 2, Run (2,3,4): fitness => -5.64
K = 2, Run (2,3,5): fitness => -5.64

K = 2, Run (2,4,1): fitness => -5.64
K = 2, Run (2,4,2): fitness => -5.64
K = 2, Run (2,4,3): fitness => -5.64
K = 2, Run (2,4,4): fitness => -5.64
K = 2, Run (2,4,5): fitness => -5.64

K = 2, Run (2,5,1): fitness => -5.64
K = 2, Run (2,5,2): fitness => -5.64
K = 2, Run (2,5,3): fitness => -5.64
K = 2, Run (2,5,4): fitness => -5.64
K = 2, Run (2,5,5): fitness => -5.64

K = 2, Run (2,6,1): fitness => -5.64
K = 2, Run (2,6,2): fitness => -5.64
K = 2, Run (2,6,3): fitness => -5.64
K = 2, Run (2,6,4): fitness => -5.64
K = 2, Run (2,6,5): fitness => -5.64

K = 2, Run (2,7,1): fitness => -5.64
K = 2, Run (2,7,2): fitness => -5.64
K = 2, Run (2,7,3): fitness => -5.64
K = 2, Run (2,7,4): fitness => -5.64
K = 2, Run (2,7,5): fitness => -5.64

K = 2, Run (2,8,1): fitness => -5.64
K = 2, Run (2,8,2): fitness => -5.64
K = 2, Run (2,8,3): fitness => -5.64
K = 2, Run (2,8,4): fitness => -5.64
K = 2, Run (2,8,5): fitness => -5.64

K = 2, Run (2,9,1): fitness => -5.64
K = 2, Run (2,9,2): fitness => -5.64
K = 2, Run (2,9,3): fitness => -5.64
K = 2, Run (2,9,4): fitness => -5.64
K = 2, Run (2,9,5): fitness => -5.64

K = 2, Run (2,10,1): fitness => -5.64
K = 2, Run (2,10,2): fitness => -5.64
K = 2, Run (2,10,3): fitness => -5.64
K = 2, Run (2,10,4): fitness => -5.64
K = 2, Run (2,10,5): fitness => -5.64

#-4.93

real	0m0.634s
user	0m0.514s
sys	0m0.079s
K = 2, D = 0, C = 2
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  2
    nintr = 0


K = 2, Run (1,1,1): fitness => -6.95
K = 2, Run (1,1,2): fitness => -6.75
K = 2, Run (1,1,3): fitness => -6.56
K = 2, Run (1,1,4): fitness => -6.55
K = 2, Run (1,1,5): fitness => -6.54

K = 2, Run (1,2,1): fitness => -6.57
K = 2, Run (1,2,2): fitness => -6.55
K = 2, Run (1,2,3): fitness => -6.55
K = 2, Run (1,2,4): fitness => -6.54
K = 2, Run (1,2,5): fitness => -6.54

K = 2, Run (1,3,1): fitness => -6.55
K = 2, Run (1,3,2): fitness => -6.54
K = 2, Run (1,3,3): fitness => -6.54
K = 2, Run (1,3,4): fitness => -6.54
K = 2, Run (1,3,5): fitness => -6.54

K = 2, Run (1,4,1): fitness => -6.54
K = 2, Run (1,4,2): fitness => -6.54
K = 2, Run (1,4,3): fitness => -6.54
K = 2, Run (1,4,4): fitness => -6.54
K = 2, Run (1,4,5): fitness => -6.54

K = 2, Run (1,5,1): fitness => -6.54
K = 2, Run (1,5,2): fitness => -6.54
K = 2, Run (1,5,3): fitness => -6.54
K = 2, Run (1,5,4): fitness => -6.54
K = 2, Run (1,5,5): fitness => -6.54

K = 2, Run (1,6,1): fitness => -6.54
K = 2, Run (1,6,2): fitness => -6.54
K = 2, Run (1,6,3): fitness => -6.54
K = 2, Run (1,6,4): fitness => -6.54
K = 2, Run (1,6,5): fitness => -6.54

K = 2, Run (1,7,1): fitness => -6.54
K = 2, Run (1,7,2): fitness => -6.54
K = 2, Run (1,7,3): fitness => -6.54
K = 2, Run (1,7,4): fitness => -6.54
K = 2, Run (1,7,5): fitness => -6.54

K = 2, Run (1,8,1): fitness => -6.54
K = 2, Run (1,8,2): fitness => -6.54
K = 2, Run (1,8,3): fitness => -6.54
K = 2, Run (1,8,4): fitness => -6.54
K = 2, Run (1,8,5): fitness => -6.54

K = 2, Run (1,9,1): fitness => -6.54
K = 2, Run (1,9,2): fitness => -6.54
K = 2, Run (1,9,3): fitness => -6.54
K = 2, Run (1,9,4): fitness => -6.54
K = 2, Run (1,9,5): fitness => -6.54

K = 2, Run (1,10,1): fitness => -6.54
K = 2, Run (1,10,2): fitness => -6.54
K = 2, Run (1,10,3): fitness => -6.54
K = 2, Run (1,10,4): fitness => -6.54
K = 2, Run (1,10,5): fitness => -6.54

K = 2, Run (2,1,1): fitness => -6.68
K = 2, Run (2,1,2): fitness => -6.51
K = 2, Run (2,1,3): fitness => -6.33
K = 2, Run (2,1,4): fitness => -6.23
K = 2, Run (2,1,5): fitness => -6.17

K = 2, Run (2,2,1): fitness => -6.45
K = 2, Run (2,2,2): fitness => -6.32
K = 2, Run (2,2,3): fitness => -6.23
K = 2, Run (2,2,4): fitness => -6.17
K = 2, Run (2,2,5): fitness => -6.17

K = 2, Run (2,3,1): fitness => -6.27
K = 2, Run (2,3,2): fitness => -6.20
K = 2, Run (2,3,3): fitness => -6.17
